Steppingstone sampler:
        No Stones:                  100
        Start It:                   50000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-23.562322	-23.562322
1	0.950747	750	-23.209902	-46.772224
2	0.926679	750	-22.854688	-69.626912
3	0.902980	750	-22.504185	-92.131097
4	0.879648	750	-22.165942	-114.297039
5	0.856682	750	-21.809999	-136.107038
6	0.834079	750	-21.465417	-157.572455
7	0.811838	750	-21.125827	-178.698282
8	0.789957	750	-20.781763	-199.480044
9	0.768433	750	-20.444423	-219.924467
10	0.747266	750	-20.107890	-240.032358
11	0.726452	750	-19.769499	-259.801857
12	0.705989	750	-19.436071	-279.237928
13	0.685877	750	-19.108722	-298.346649
14	0.666112	750	-18.783957	-317.130607
15	0.646693	750	-18.445103	-335.575709
16	0.627618	750	-18.126479	-353.702189
17	0.608884	750	-17.802403	-371.504592
18	0.590490	750	-17.485406	-388.989998
19	0.572433	750	-17.162699	-406.152697
20	0.554712	750	-16.839447	-422.992144
21	0.537324	750	-16.529356	-439.521500
22	0.520268	750	-16.212272	-455.733772
23	0.503540	750	-15.899715	-471.633487
24	0.487139	750	-15.580695	-487.214182
25	0.471063	750	-15.279198	-502.493380
26	0.455310	750	-14.985985	-517.479365
27	0.439877	750	-14.672999	-532.152364
28	0.424762	750	-14.379250	-546.531614
29	0.409963	750	-14.068625	-560.600240
30	0.395478	750	-13.784118	-574.384357
31	0.381305	750	-13.481641	-587.865998
32	0.367440	750	-13.186471	-601.052469
33	0.353883	750	-12.900940	-613.953409
34	0.340630	750	-12.616610	-626.570018
35	0.327680	750	-12.323307	-638.893325
36	0.315030	750	-12.035297	-650.928622
37	0.302677	750	-11.762054	-662.690675
38	0.290619	750	-11.483077	-674.173753
39	0.278855	750	-11.203053	-685.376806
40	0.267381	750	-10.940846	-696.317652
41	0.256195	750	-10.653362	-706.971014
42	0.245294	750	-10.386021	-717.357035
43	0.234677	750	-10.117492	-727.474527
44	0.224340	750	-9.850696	-737.325223
45	0.214281	750	-9.592816	-746.918039
46	0.204498	750	-9.325936	-756.243975
47	0.194988	750	-9.070956	-765.314931
48	0.185749	750	-8.810814	-774.125744
49	0.176777	750	-8.555513	-782.681257
50	0.168070	750	-8.310367	-790.991624
51	0.159626	750	-8.062252	-799.053876
52	0.151441	750	-7.825043	-806.878919
53	0.143514	750	-7.576106	-814.455025
54	0.135841	750	-7.337191	-821.792216
55	0.128420	750	-7.097905	-828.890122
56	0.121247	750	-6.864601	-835.754722
57	0.114320	750	-6.630103	-842.384826
58	0.107637	750	-6.400880	-848.785706
59	0.101193	750	-6.171875	-854.957581
60	0.094986	750	-5.939014	-860.896596
61	0.089014	750	-5.734118	-866.630714
62	0.083273	750	-5.520393	-872.151107
63	0.077760	750	-5.300077	-877.451184
64	0.072472	750	-5.091982	-882.543166
65	0.067406	750	-4.875321	-887.418487
66	0.062558	750	-4.671431	-892.089918
67	0.057926	750	-4.478263	-896.568181
68	0.053506	750	-4.277850	-900.846031
69	0.049295	750	-4.084330	-904.930361
70	0.045289	750	-3.895301	-908.825662
71	0.041485	750	-3.712726	-912.538388
72	0.037880	750	-3.531095	-916.069483
73	0.034469	750	-3.333176	-919.402659
74	0.031250	750	-3.161332	-922.563992
75	0.028218	750	-3.003171	-925.567163
76	0.025370	750	-2.802508	-928.369671
77	0.022702	750	-2.658252	-931.027923
78	0.020209	750	-2.475165	-933.503089
79	0.017889	750	-2.344715	-935.847804
80	0.015736	750	-2.234237	-938.082041
81	0.013746	750	-2.039922	-940.121963
82	0.011916	750	-2.017202	-942.139164
83	0.010240	750	-1.895005	-944.034169
84	0.008714	750	-1.760958	-945.795127
85	0.007334	750	-1.654338	-947.449465
86	0.006093	750	-1.486921	-948.936386
87	0.004988	750	-1.501599	-950.437986
88	0.004013	750	-1.727704	-952.165689
89	0.003162	750	-1.836261	-954.001951
90	0.002430	750	-1.375362	-955.377313
91	0.001810	750	-1.291254	-956.668567
92	0.001296	750	-1.092997	-957.761564
93	0.000882	750	-0.953238	-958.714802
94	0.000559	750	-0.761513	-959.476314
95	0.000320	750	-0.557819	-960.034134
96	0.000156	750	-0.387279	-960.421412
97	0.000057	750	-0.243281	-960.664693
98	0.000010	750	-0.114376	-960.779070
99	0.000000	750	-0.024126	-960.803196
Log marginal likelihood:	-960.803196
